,sercdoa_OA_ser,INVN_F,UBFC_Fshelfmark,PVCS_OAcountry,PVCC_OAtown,LDCN_OArep,PRVC_OAprev_town,AUFI_Fatelier_address,AUFN_Faut,SGLT_Ftitle,SGTT_OAtitle,AUTN_OAaut,OGTT_OAtype,AUTB_Fsubj_main,OGTDOA_OAsubj_sub,ROFI_Fneg,BIBA_OAbib,OSS_Fnotes,OSS_OAnotes,FTAN_filename,NCTN_F_entry,NRSCHEDA_OA_entry,DTZG_OAcentury,LRD_Fshotdates,DTSI_Fprintdates,DTSF_Fprintdates,AUFA_Faut_dates,Note,status
0,177166,sup 748,PA_Abruzzo 002,Italia,Massa d'Albe,,,,"Moscioni, Romualdo",Alba Fucense - Mura ciclopiche,Mura di Alba Fucens,Maestranze sec. III/ II a.C. ,architettura,Arte romana,cinta muraria,5767,,"Fotografia incollata su cartoncino; supporto secondario mm 310x382.
La foto compare nel catalogo Moscioni del 1903.","Foto sup 748, verso: nota anonima: ""Near Avezzano and not far from Tagliacozzo. Here kings Perseus and Syphan were confined"".",\FONDO_SUPINO\Italia\Abruzzo\sup 748.jpg,800748,17783,sec. III/ II a.C.,1885-1899,1885,1899,,"Near Avezzano and not far from Tagliacozzo. Here kings Perseus and Syphan were confined"".",complete
1,177715,sup 747,PA_Abruzzo 001,Italia,Massa d'Albe,,,,"Moscioni, Romualdo",Alba Fucense - Mura ciclopiche,Mura di Alba Fucens,Maestranze sec. III/ II a.C. ,architettura,Arte romana,cinta muraria,5768,,"Fotografia incollata su cartoncino; supporto secondario mm 310x382.
La foto compare nel catalogo Moscioni del 1903.","Foto sup 748, verso: nota anonima: ""Near Avezzano and not far from Tagliacozzo. Here kings Perseus and Syphan were confined"".",\FONDO_SUPINO\Italia\Abruzzo\sup 747.jpg,800747,17783,sec. III/ II a.C.,1885-1899,1885,1899,,,missing
2,177733,sup 751,PA_Abruzzo 003,Italia,L'Aquila,,,,Anonimo,Aquila. Façade of S.a Maria di Paganica,Chiesa di Santa Maria di Paganica,Maestranze attive a L'Aquila sec. XIII/ XIV,architettura,Arte romanica,chiesa,,,Fotografia incollata su cartoncino; supporto secondario mm 333x250.,,\FONDO_SUPINO\Italia\Abruzzo\sup 751.jpg,800751,18185,sec. XIII/ XIV,1855-1899,1855,1899,,,missing
3,177737,sup 867,PA_Marche 001,Italia,Urbino,,,Alinari,"Alinari, Fratelli",Urbino. Casa dove nacque Raffaello Sanzio,Casa Natale di Raffaello,Maestranze attive a Urbino sec. XV,architettura,Arte rinascimentale,casa,835,,"Fotografia incollata su cartoncino; supporto secondario mm 381x318.
Nel catalogo Alinari ""Terza Appendice"" del 1887 la foto compare citata con un altro numero di inventario: 15357. Il numero che compare sulla foto è presumibilmente precedente.",,\FONDO_SUPINO\Italia\Marche\sup 867.jpg,800867,18541,sec. XV,1881-1887,1881,1887,1854-2019,,missing
4,177745,sup 753,PA_Abruzzo 004,Italia,L'Aquila,,,,Anonimo,Aquila. S. Maria di Collemaggio,Chiesa di Santa Maria di Collemaggio,Maestranze attive a L'Aquila sec. XIII/ XIV,architettura,Arte romanica,chiesa,,,Fotografia incollata su cartoncino; supporto secondario mm 240x312.,"Foto sup 763, verso: nota anonima manoscritta: ""Aquila. S. Maria di Collemaggio. Founded by Pietro Morone in 1287. He was crowned there in 1294. The side tower was added in the 14.th century. Its machicolations are later"".",\FONDO_SUPINO\Italia\Abruzzo\sup 753.jpg,800753,18187,sec. XIII/ XIV,1855-1899,1855,1899,,,missing
5,177748,sup 755,PA_Abruzzo 005,Italia,Sulmona,Palazzo dell'Annunziata,,,"Moscioni, Romualdo",Solmona - Ospedale dell'Annunziata. Porta e finestra,,Anonimo abruzzese sec. XV,scultura,"Scuola italiana, scuola abruzzese",decorazione plastica,5954,,"Fotografia incollata su cartoncino; supporto secondario mm 381x314.
La foto compare nel catalogo Moscioni del 1903.",,\FONDO_SUPINO\Italia\Abruzzo\sup 755.jpg,800755,18359,sec. XIV,1885-1899,1885,1899,,,missing
6,177749,sup 756,PA_Abruzzo 006,Italia,Sulmona,Palazzo dell'Annunziata,,,"Moscioni, Romualdo",Solmona - Ospedale dell'Annunziata. Porta e finestra,,Anonimo abruzzese sec. XV,scultura,"Scuola italiana, scuola abruzzese",decorazione plastica,5953,,"Fotografia incollata su cartoncino; supporto secondario mm 382x314.
La foto compare nel catalogo Moscioni del 1903.",,\FONDO_SUPINO\Italia\Abruzzo\sup 756.jpg,800756,18361,sec. XIV,1885-1899,1885,1899,,,missing
7,177750,sup 757,PA_Abruzzo 007,Italia,Castiglione a Casauria,Abbazia di S. Clemente a Casauria,,"Fotografia Artistica. Eredi di R. Moscioni. Via Frattina, 140. Roma","Moscioni, Romualdo",Ornato dettaglio del pulpito della chiesa di S. Clemente in Cesauria (Torre dei Passeri),,Anonimo abruzzese sec. XII,scultura,"Scuola italiana, scuola abruzzese",ambone,9397,,,,\FONDO_SUPINO\Italia\Abruzzo\sup 757.jpg,800757,18495,sec. XII,1885-1903,1925,1929,,,missing
8,177751,sup 758,PA_Abruzzo 008,Italia,L'Aquila,Chiesa di S. Michele Arcangelo,,Fot. R. Moscioni - Roma,"Moscioni, Romualdo",Bassorilievo Cristiano - Chiesa di S. Vittorino presso Aquila,,Anonimo abruzzese sec. XII,scultura,"Scuola italiana, scuola abruzzese",rilievo,6014,,,,\FONDO_SUPINO\Italia\Abruzzo\sup 758.jpg,800758,18383,sec. XII,1885-1903,1885,1925,,,missing
9,177767,sup 982,PA_Campania 001,Italia,Ravello,Chiesa di S. Giovanni del Toro,,,Anonimo,,,Alfano da Termoli,scultura,Scuola Italia meridionale,ambone,,,Fotografia incollata su cartoncino; supporto secondario mm 280x400.,"Foto sup 982, verso: nota anonima manoscritta: ""The pulpit of San Giovanni del Toro, of the middle of the 12.th century, king Rogers time"".",\FONDO_SUPINO\Italia\Campania\sup 982.jpg,800982,18540,sec. XIII,,1855,1899,,"The pulpit of San Giovanni del Toro, of the middle of the 12.th century, king Rogers time"".",complete
