,Inv,Note
0,"Foto sup 748, verso: nota anonima","Near Avezzano and not far from Tagliacozzo. Here kings Perseus and Syphan were confined""."
1,"Foto sup 763, verso: nota anonima manoscritta","Aquila. S. Maria di Collemaggio. Founded by Pietro Morone in 1287. He was crowned there in 1294. The side tower was added in the 14.th century. Its machicolations are later""."
2,"Foto sup 982, verso: nota anonima manoscritta","The pulpit of San Giovanni del Toro, of the middle of the 12.th century, king Rogers time""."
3,"Foto sup 893, verso: nota anonima manoscritta","Clara pudicicie dux Paulabianca potentis / A genetrice Traheus Ursini sanguine ortus / Cui patrium Malatesta genus - etc- etc. / Paolabianca was the wife of Pandolfo and mother of / Sigismund Malatesta. The two coasts are the Malatesta checky bass / and the Malatesta 3 Moors' heads. / Pandolfo's monument erected by Sigismund, is along side under the same porch.""."
4,"Foto sup 988, verso: nota anonima manoscritta","Here also his buried Sibylla of Burgundy. ""Rex huic dat rupi Rogerius arva Siclorum. Dat corynx cineres masta Sibylla suos"". The lower sarcophagus is greco-romano and beautiful.""."
5,"Foto sup 991, verso: nota anonima manoscritta","Queen Margherita widow of Carlo III, who died in 1412. A grand monument by Baboccio. Above the queen reclining on ta sarc. and 4 angels drawing back the costains. On the sarc. in front the queen scaled surrounded by the ladies of her court and her children. On the rear of sarc. the queen scaled amidst 14 huns. The sides have magnificent A[?]. Below 4 virtues support the tomb [...]"""
6,"Foto sup 998, verso: nota manoscritta anonima","Piissimi Patris Nicolai Piscicelli optimi presidis Salern. orsa. MCCCCLXXI. It is rather stift for the date. The Piscicelli were ""delle famiglie primarie di Napoli""""."
7,"Foto sup 1000, verso: nota anonima manoscritta","Rude sarcophagus in the porch of the church. The story of the hunting of the wild bour of Calydon.""."
8,"Foto sup 1002, verso: nota anonima manoscritta","Amalfi. This campanile is said to date from 1153, temp. king Roger, but I much do not; at all wears, the superstructure is much more modern. It has, says Fr. Leuermant, des veritables mosaiques à grandes pieces (lava) incrustees dans l'appareil de gros bloes de Calcaire. Elles dessinent les lions rucupents d'un style tout heraldique. Le lion était l'embleme de la dynastie normande"".
"
9,"Foto sup 1003, verso: nota anonima manoscritta","Cloister of the Canonica founded in 1213 by Cardinal Pietro Capuano."".
"
10,"Foto sup 1012, verso: nota anonima manoscritta","In cloister of Amalfi Duomo. Sarc. of an archbishop of the Capuani family (by the coat) who died about 1350; Pietro Capanno was he called. The relief of the Madonna della Neve is of about 1400; the two Jesuit Saints are of course after 1600""."
11,"Foto sup 1005, verso: nota anonima manoscritta","Amalfi. Cloister of San Francesco founded by the Saint himself in 1220. The convent is now the Hotel de la Lana, but the church, tho' of trenewed in stile in use and contains the crypt where the saint lived and where he nonnulla miracula patravit.""."
12,"Foto sup 874, verso: nota anonima manoscritta","Urbino. / Palazzo Ducale, the old Montefeltro castle entirely remodelled / in 1447 by duke Federigo.""."
