,Unnamed: 0.1,Inv,Note,status
0,0,sup 748,"Near Avezzano and not far from Tagliacozzo. Here kings Perseus and Syphan were confined"".",complete
1,1,sup 763,"Aquila. S. Maria di Collemaggio. Founded by Pietro Morone in 1287. He was crowned there in 1294. The side tower was added in the 14.th century. Its machicolations are later"".",complete
2,2,sup 982,"The pulpit of San Giovanni del Toro, of the middle of the 12.th century, king Rogers time"".",complete
3,3,sup 893,"Clara pudicicie dux Paulabianca potentis / A genetrice Traheus Ursini sanguine ortus / Cui patrium Malatesta genus - etc- etc. / Paolabianca was the wife of Pandolfo and mother of / Sigismund Malatesta. The two coasts are the Malatesta checky bass / and the Malatesta 3 Moors' heads. / Pandolfo's monument erected by Sigismund, is along side under the same porch."".",complete
4,4,sup 988,"Here also his buried Sibylla of Burgundy. ""Rex huic dat rupi Rogerius arva Siclorum. Dat corynx cineres masta Sibylla suos"". The lower sarcophagus is greco-romano and beautiful."".",complete
5,5,sup 991,"Queen Margherita widow of Carlo III, who died in 1412. A grand monument by Baboccio. Above the queen reclining on ta sarc. and 4 angels drawing back the costains. On the sarc. in front the queen scaled surrounded by the ladies of her court and her children. On the rear of sarc. the queen scaled amidst 14 huns. The sides have magnificent A[?]. Below 4 virtues support the tomb [...]""",incomplete
6,6,sup 998,"Piissimi Patris Nicolai Piscicelli optimi presidis Salern. orsa. MCCCCLXXI. It is rather stift for the date. The Piscicelli were ""delle famiglie primarie di Napoli"""".",complete
7,7,sup 1000,"Rude sarcophagus in the porch of the church. The story of the hunting of the wild bour of Calydon."".",complete
8,8,sup 1002,"Amalfi. This campanile is said to date from 1153, temp. king Roger, but I much do not; at all wears, the superstructure is much more modern. It has, says Fr. Leuermant, des veritables mosaiques à grandes pieces (lava) incrustees dans l'appareil de gros bloes de Calcaire. Elles dessinent les lions rucupents d'un style tout heraldique. Le lion était l'embleme de la dynastie normande"".
",complete
9,9,sup 1003,"Cloister of the Canonica founded in 1213 by Cardinal Pietro Capuano."".
",complete
10,10,sup 1012,"In cloister of Amalfi Duomo. Sarc. of an archbishop of the Capuani family (by the coat) who died about 1350; Pietro Capanno was he called. The relief of the Madonna della Neve is of about 1400; the two Jesuit Saints are of course after 1600"".",complete
11,11,sup 1005,"Amalfi. Cloister of San Francesco founded by the Saint himself in 1220. The convent is now the Hotel de la Lana, but the church, tho' of trenewed in stile in use and contains the crypt where the saint lived and where he nonnulla miracula patravit."".",complete
12,12,sup 874,"Urbino. / Palazzo Ducale, the old Montefeltro castle entirely remodelled / in 1447 by duke Federigo."".",complete
13,13,sup 882,"Santa Casa. Loreto. / The Annunciation by the elder Sansovino. He worked at the S. Casa from / 1513 to 1523. Says Vasari: ""non di marmo ma pare veramente celeste"". / The visitation and the Ta[...] by Montelupo and Fr. da Sangallo. / Medici arms"".",incomplete
14,14,sup 1007,"The great Oscan godders of maternity. This of tufo covered with stucco."".",complete
15,15,sup 884,"Ad matrem Christi qua templo presidet isti / Qui legis ingredere, veniamq; precando merere. / Cum bis centenus ausisset tempora denus / Annus millenus floreret papa Serenus / Imperiiq; decus princeps Otto. Sumere equus / Hec Philippe pie decorasti cum pie Marie. / This is Otto the Guelph Anno 1210"".",complete
16,16,sup 885,"Fra Gabriele died in 1456. The monument is a fine renaissance work"".",complete
17,17,sup 889,"Ancona. La cripth of Duomo, S. Ciriaco. Sarcophagus of Titus Gorgonius, precetor of / Ancona and of his wife. The wedded pair are represented on the / front as crowding at the feet of Christ, on the back / in a medallion embraing one another. //
",complete
18,18,sup 891,"Built by Sigismund Malatesta in 1452. / It is now a prison. On its wall: /  Sigismundus Pandulfus Pan. 7. / Minimis antiquissimorum murorum reliquis / Hic inventis, arcis hagus turres et muros / Et opportunissimum maris terraque / Accursum dedit. MCCCCLII"".",complete
19,19,sup 1008,"Paestum. A tower in the Greek wall about 350 before Christ."".",complete
20,20,sup 1009,"Porta della Sirena. Pastum. Lenormant thinks the walls, and certainly the gate with the Nereid à quen de poisson of second half of 4.th century, or later stile, of Alexander of Epirus time. I doubt that the arch is so old.""",complete
21,21,sup 1046,"Bronze door of 1176"". ",complete
22,22,sup 1012,"In cloister of Amalfi Duomo. Sarc. of an archbishop of the Capuani family (by the coat) who died about 1350; Pietro Capanno was he called. The relief of the Madonna della Neve is of about 1400; the two Jesuit Saints are of course after 1600"". 
",complete
23,23,sup 897,"Urbino / duomo - Madonna col bambino - / Residuo di affresco. Sec. XIV"".",complete
24,24,sup 127,"S. Maria Pomposa, near Comacchio. / Window of this great abbey"".",complete
25,25,sup 128,"Christian sarcophagus of the 5 th. century representing Jesus Christ / seated, between two standing disciples, in a chair with his feet / resting on the lion and the basilic. The palm trees mean / that this took place in Judea. / The sarcophagus, which is at Ravenna, is now under cover near / S. Francesco. In the middle ages it became the burial place / of the Pignatta, who fashioned the corner ornaments of the lid / with pots (pignatte) their canting arms"".
",complete
26,26,sup 183,"Ravenna. / Exterior of S. Francesco, when / Dante was buried. / The two ends of the sarcophagus used by the Pignatti. / The Annunciation and perhaps the espousals of Joseph & Mary. / Says Kraus: of circa 420 und von grosser Bedetung. [...] Engel; Aus dem Apocrypha"".",incomplete
27,27,sup 129,"Monogram of Theodoricus"".",complete
28,28,sup 130,"This is not the tomb of Pietro Damiano who died in 1072, but of Pietro degli Onesti [died in] 1119. / But P. Damiano was an in mate of the same cloister and also calls himself / Peccator: ""In quel loco fu'io Pier Damiano, / E Pietro Peccator fui nella casa / Di nostra Donna in sul lito Adriano"". Parad. XXI."".
",complete
29,29,sup 1028,"Campanile of Caserta vecchia"".",complete
30,30,sup 1030,"Cimborio of Caserta vecchia"".",complete
31,31,sup 1030,"Campanile of Caserta vecchia"".",complete
32,32,sup 1035,"The pulpit is dated 1272, but the head of Sigulgnita Rufulo is probably older; She should be compared with Fedeltà di Capua"".
",complete
33,33,sup 132,"Ravenna. / Whatever may the date of the foundations, / I do not consider the superstructure older than / the 12 th. or 13 th. century"".",complete
34,34,sup 1037,"Museo Campano. Capua. A made up Trophy"".
",complete
35,35,sup 1042,"Two portrait busts, double the size of life, representing Pier della Vigna and Taddeo da Sessa (gran judice of Capua) and a third bust, nearly 3 times the size of life reproducing an idealized Greek female and called Fedeltà di Capua, or Capua imperiale were in the year 1875 brought into the Museum. This last bust, here shown, is of the Juno type..."".",incomplete
36,36,sup 1044,"Museum. Capua. The Oscan godders of maternity. From a temple the remains of which were day up in 1845, when there statues were found. Kore, or more probably Demeter, her mother, was the goddess worshiffed there in. There are any number of her statues and statuettes, a whole wormfull and they are of tufo intonacato di stucco ..."".",incomplete
37,37,sup 135,"Ravenna. / S. Apollinare in Classe. / Sarcophagus of an archbishop of Ravenna. / Hic tumulus clausum servat corpus domn Felicis sciss.ac ter beatiss. archiepiscopi. / San Felice died circa 705. Agnello says in 716"".",complete
38,38,sup 1047,"Ravello. The second or simpler pulpit, being the older one of the two. Erected by Bishop Constantini Rogadeo who sat from 1094 to 1150"".",complete
