,Unnamed: 0,Unnamed: 0.1,Inv,Note,status
0,20,20,sup 1009,"Porta della Sirena. Pastum. Lenormant thinks the walls, and certainly the gate with the Nereid à quen de poisson of second half of 4.th century, or later stile, of Alexander of Epirus time. I doubt that the arch is so old.""",complete
1,76,76,sup 188,"The so called Apotheosis of Augustus - Sacresty San Vitale Ravenna. / I think it represents the Julian family: / Julius seated (much like an old woman), Augustus in armour, / Drusus, Livia and Tiberius. The figure in armour resembles the / statue found at Prima Porta ad Gallinas Albas"".",complete
2,153,153,sup 1227," I have but little doubs that the Columbarium was Virgils tomb, as all events its masonry is of his period and he was certainly buried close at hand. Outside is an inscription of 1553: Qui cineres? tumuli haec vestigia: conditur olim Ille hic qui cecinit pascua, rura, duces. St. Paul visited the tomb: ""Ad Maronis mausoleum Ductus, ..."".",incomplete
3,260,260,sup 218,"Corneto Vitelleschi. Court of Cardinal Vitelleschis palace at Corneto. It is now an inn and a tenement for the person classes in the town. When I was first there in 1861, it was occupied by French officiers who had their mess in it"".
",complete
4,571,571,sup 1909,"Porta dell'Arco. Volterra. / The masonry for the most part consists of panchina (a yellow / arenaceous tertiary full of shells), so do the doorposts (9'x 2'x 2') / of the onter arch: the imposts and voussoris are of travertine / and the three heads of a dark stone, possibly peperino, much / probably of selagite from Monte Catino with a dash of mica. / The middle head is, I think, that of a young woman, the others / those of elderly persons, male or female, probably the protecting / deities of the Etruscan city... "".
",incomplete
5,585,585,sup 1919,"Marsilio Ficino, who died in 1499, has a copy of Plato in his / hands. The reverse of a medal of him, which I have, says, ""Platone"". / Ferucci was a good second class artist. / See Perkins. / Ex hospes hic est Marsilius sophiae pater / Platonicum qui dogma culpa temporum / Situ obrutum illustrans et atticum decus / Servans Latio dedit fores primus sacras..."".",incomplete
6,655,655,sup 1491,"S. Maria del Popolo. Bronze monument of a so called unknow bishop, by some attributed to Pollaiuolo . I discovered the coat of the Foscari engraved on the pillow..."".
",incomplete
7,742,742,sup 1605,"Queen Clementina died in Feb. 1735 in her palazzo at S. Apostoli [...] The medal reproducing the tomb was made by Rocco Pozzi in 1742. I have it"".",incomplete
8,823,823,sup 1304,"Sarcofago del 3° o 4° secolo, esistente nel Museo Lateranense. Sacrifizio di Abramo, Cristo assiso, colla figura del mondo sotto i piedi, Pilato condanna Cristo. 
",complete
9,846,846,sup 619,"This fine monument of a doctor of laws is in terracotta. / He was born in 138 and died in 1466. / I have a medal of him with the inscription: / ""Antonius de Royzellis monarcha sapientie"".
",complete
10,849,849,sup 1351,"This grand headless Etruscan lady came with the other gear from the Casuccini collection of Chiusi where I saw her in 1866. She is of white marble. The figures below, painted and with painted inscriptions, are of alabaster"". 
",complete
