,ent,count
0,Bologna,19
1,Maria del Popolo,18
2,Ravenna,17
3,Pope,12
4,Dante,11
5,Madonna,11
6,Palazzo,10
7,Zeus,10
8,Scopas,9
9,Minerva,7
10,Found,7
11,Naples,7
12,Pisa,7
13,S. Maria,7
14,Greeks,7
15,Furtwangler,7
16,Amelung,7
17,Maria,7
18,S. Francesco,7
19,Amazons,6
20,S. Maria Maggiore,6
21,Fr,6
22,Duomo,6
23,Basilica Ursiana,6
24,Ruskin,6
25,Andrea,5
26,Perkins,5
27,S. Domenico,5
28,Frank,5
29,S. Apostoli,5
30,Lucy,5
31,Vasari,5
32,Sansovino,4
33,Roger,4
34,Marco,4
35,Dennis,4
36,See Dennis,4
37,Esquiline,4
38,Dennis Vol,4
39,Furtwrangler,4
40,Friedrichs Wolters,4
41,Maria sopra Minerva,4
42,Tino da Camaino,4
43,Norman,4
44,MusÃ©,4
45,Monte Calvo,4
46,Verona,4
47,Mino,4
48,Giovanni Pisano,4
49,B. C.,4
50,Mary,4
51,Val,4
52,Peter,4
53,C. Newton,4
54,Fiesole,4
55,Maria Novella,3
56,Doge,3
57,San Francesco,3
58,Soros,3
59,Roberto Malatesta,3
60,Frederic II,3
61,Anspert,3
62,Florentine,3
63,Palazzo Ducale,3
64,Roma,3
65,Gothic,3
66,Padua,3
67,Diana,3
68,Pisano,3
69,Antonio Rossellino,3
70,Paul II,3
71,Alessandro Vittoria,3
72,Mino da Fiesole,3
73,S. Angelo,3
74,Lorenzo,3
75,d'un,3
76,Quercia,3
77,Lucrezia Borgia,3
78,---Akropolis Museum,3
79,---La,3
80,Maria Maggiore,3
81,Museum Athens,3
82,Charles Newton,3
83,Waldstein,3
84,del supporto,3
85,Quod,3
86,Byron,3
87,Perseus,3
88,John Lateran,3
89,Ilissos,2
90,Spon,2
91,Maria Antica - Verona,2
92,Pope Alexander,2
93,Colleoni,2
94,S. Lorenzo,2
95,Donnorso,2
96,Piccolomini,2
97,Honorius,2
98,Fresco,2
99,Sidon,2
100,Nicolas,2
101,Bronze,2
102,Loggia,2
103,Benedetto da Rovezzano,2
104,viro,2
105,S. Maria sopra Minerva,2
106,Andrea Fusina,2
107,Giotto,2
108,Gauls,2
109,Museo Lateranense,2
110,Gavin Hamilton,2
111,Antonio Baboccio,2
112,S. Marco,2
113,J. Sansovino,2
114,Giov,2
115,Cosimo,2
116,Colossal,2
117,B.C. Fried,2
118,John,2
119,Jacobsen,2
120,Harrison,2
121,Brunn,2
122,Friederichs,2
123,Tenerani,2
124,Tyber,2
125,Melphomene,2
126,Myron,2
127,Mangia,2
128,Robbia,2
129,S. Lorenzo f. l. mura,2
130,Phidias,2
131,Guglielmo,2
132,Plinth,2
133,Giuliano da Maiano,2
134,Gian Galeazzo Visconti,2
135,Francis,2
136,Via Latina,2
137,Nino Pisano,2
138,Pancratii,2
139,Genoa,2
140,---Ethnic Museum,2
141,Recto del supporto,2
142,Boniface,2
143,---La Verna,2
144,Paolo,2
145,Max,2
146,Minos,2
147,Ciborio,2
148,Cardinal Wolsey,2
149,Gregorio Magno,2
150,Stokes,2
151,Museo Civico,2
152,Mausoleum Room,2
153,F. Wolters,2
154,Antonio Albertoni,2
155,Doric,2
156,Giuseppe,2
157,Foscari,2
158,Poseidon,2
159,Hera,2
160,Raphael,2
161,James,2
162,Eros,2
163,Donatellos,2
164,Delphi,2
165,S. Maria di Monserrato,2
166,Petrarch,2
167,Priam,2
168,Size,2
169,Copais,2
170,Parma,2
171,Ladislas,2
172,Philodemos,2
173,Maria dell'Anima,2
174,Andrea Ciccione,2
175,Palazzo Cavalli,2
176,Quo,2
177,Hare,2
178,Queen Giovanna,2
179,Kraus,2
180,S. Giovanni,2
181,del Capiscol,2
182,Madonna dell'Orto,2
183,Andrea Pisano,2
184,Zara,2
185,Ergo,2
186,Juno,2
187,Helias,2
188,Demeter,2
189,S. Maria del Popolo,2
190,Sigismund Malatesta,2
191,Arezzo,2
192,Sansovinos,2
193,Cristo,2
194,Morosini,2
195,Fouquet,2
196,Palazzo del Duca,2
197,Palazzo Pubblico,2
198,Livia,2
199,Vol,2
200,Casuccini,2
201,Ra,2
202,Arles,2
203,---NÃ¼rnberg,2
204,Gennaio,2
205,William,2
206,Ny - Carlsberg Glyptotek,2
207,S. Benedetto,2
208,Machiavelli,2
209,Cashel,2
210,Bari,2
211,Sun,2
212,Pietro Capanno,2
213,Capuani,2
214,Nos,2
215,Hercules,2
216,Boniface IX,2
217,Bartolomeo Roverella,2
218,Strozzi,2
219,the Palazzo Grimani,2
220,Alfonso,2
221,Sannazzaro,2
222,Malatesta,2
223,Queen Isabel,2
224,Enrico Minutoli,2
225,Lionardo Bruno,1
226,Lazarini,1
227,Gaston,1
228,Danese Cattaneo and Perkins,1
229,Countess Zamoyska,1
230,Pius II,1
231,"Palazzo Ducale Venezia"".---",1
232,nee Grimani,1
233,Bernardo Rossellini,1
234,Eustache,1
235,Vizi,1
236,Giovanni Buon,1
237,Agrippa,1
238,Paolo Veronese,1
239,Palazzo Corvaja,1
240,Palazzo Ducale Venezia,1
241,Landolina Venus,1
242,Leonardo Loredano,1
243,S. Giustina - statua,1
244,Doge Michele Morosini,1
245,Rainfords,1
246,Altarpiece,1
247,al Doge Morgini,1
248,Firenze,1
249,del nostro duomo ne,1
250,qui de celo,1
251,Desiderio da Settignano,1
252,restituito al suo luogo,1
253,Magno,1
254,Cima da Conegliano Venezia Ac,1
255,"B. A."".---",1
256,Michael Angelo's,1
257,Palma Vecchio,1
258,Venezia Acc.a,1
259,Paolo e Giorgio,1
260,S. Zeno,1
261,Giovanni Bellini,1
262,Venezia Accademia,1
263,"Venezia A. B. A."".---",1
264,Il Duomo,1
265,Leonardo,1
266,---Madonna,1
267,Santi,1
268,Vincenzo Cattena - Accademia B. A. Venezia,1
269,Venezia Palazzo Ducale,1
270,Supino Igino,1
271,Maestro Piero,1
272,Juliani de Davanzatis,1
273,Doge Pasquale Malipiero,1
274,Bruckner,1
275,Angelo Acciaiuoli,1
276,del Comune,1
277,Lapa,1
278,B. Latini,1
279,Ugolinum,1
280,Poet,1
281,Villani,1
282,Sit Christo,1
283,Anno Milleno,1
284,Messere Amerigo,1
285,Quinto,1
286,Abbas Bartholomaus,1
287,tu dignare mereri,1
288,Heracles,1
289,Phaedra,1
290,Cella,1
291,Pietro,1
292,Foligno,1
293,Theron,1
294,Luigi Tornabuoni,1
295,A.10,1
296,Ravennate,1
297,Adelfia C. F. posita,1
298,S. Raniero,1
299,Kombos,1
300,Moskophore,1
301,Eudorom,1
302,---D. M. / Cascella Apol,1
303,Capella Palatina,1
304,Medusa,1
305,Cardinal Angelo,1
306,the King,1
307,ecclesiam ad honorem,1
308,Giovanni da Pisa,1
309,Rafn,1
310,Ulfr,1
311,Hardr Hafi,1
312,Grikiathithis,1
313,Dalkr,1
314,fundari hedificari compleri,1
315,Antonio di Duccio,1
316,Domini Clarissimi de Falchoneriis,1
317,S. Bernardino,1
318,Veilia Velimnei Arnthial,1
319,S. Cristofano,1
320,Arnth Velimnas Aules,1
321,La Fonte,1
322,Cardinal Grimani,1
323,"Maestro Rosso - 1277"".---",1
324,Giovanni Gaetano Orsini +1339,1
325,Baldo Bartolini,1
326,Benedict,1
327,Bart,1
328,quam est,1
329,quam dulciter est,1
330,Sancti Dominici Christi,1
331,Count,1
332,Acciaiuoli,1
333,Frank Duke,1
334,Renier,1
335,Neri,1
336,Bardini li,1
337,Fuccio Fiorentino,1
338,Lapo,1
339,P. Picci,1
340,---Paul de la Roche,1
341,William the Bad,1
342,Venetian Gothic,1
343,"Porta S. Zaccaria"".---",1
344,S. Zenone,1
345,Casa Dario,1
346,Zannoni,1
347,Palazzo del Consiglio,1
348,Hinc,1
349,Joannes Darius',1
350,Sclavigerum qui,1
351,Marchia,1
352,S. Anastasia,1
353,da Duccio,1
354,Porta Borsari,1
355,Merli,1
356,S. Firmo,1
357,Leopardi,1
358,Doge Francesco Donato,1
359,Ktesilla,1
360,Edicola del Crocifisso,1
361,P. Bernardo,1
362,Palazzo Pesaro,1
363,Giacomo Cozzarelli,1
364,Jadra,1
365,hobiit MCCLXXVIII,1
366,S. Zanipolo,1
367,Jacopo Marcello,1
368,Hieronymus et Laurentius,1
369,"Binatti"".---",1
370,Maria dei Miracoli,1
371,S. Bartolo,1
372,Gemin,1
373,Enrico Dandolo,1
374,Rognosa,1
375,Schiavoni,1
376,Filippo Calendario,1
377,Platina,1
378,Michel Angelo,1
379,Jacopo Sansovino,1
380,© de trois lion,1
381,S. Andrea - 1116,1
382,Minelli,1
383,The S. Giustina,1
384,Scala del Palazzo Contarini del Bovolo,1
385,---Scala del Palazzo Minelli,1
386,Bronze Mercury,1
387,Marco Barberigo,1
388,Harold Hardradas,1
389,Bronze Apollo,1
390,Forni,1
391,S. Aniano,1
392,Ananias,1
393,B. Bon,1
394,Rich renaissance,1
395,Falieri,1
396,Pietro Torrigiani,1
397,S. Fosca,1
398,Trajan,1
399,Piccolomini Altar,1
400,Bonino da Campione,1
401,S. Maria Antica,1
402,Mastino II,1
403,Palazzo Tolomei,1
404,del Mangia,1
405,Ponte S.S. Apostoli,1
406,Agnolo da Siena,1
407,S. Donato,1
408,Aragazzi,1
409,Filippo Calandrini,1
410,del Palazzo Ducale,1
411,Agostino Barberigo,1
412,Giovanni Conti,1
413,"Cesar Borgia"".---",1
414,Marino Morosini,1
415,Bon,1
416,Biblioteca,1
417,"Porta S. Marco"".---",1
418,S. Marcos,1
419,S. Totos,1
420,S. Teodoro,1
421,Bartolomeo Bon,1
422,Bartol,1
423,B. C. Subyeet,1
424,Borgherini,1
425,anno al / Cav,1
426,Cardinal Ottoviano,1
427,Paolo Guinigi,1
428,Zenone Verona,1
429,I.B. Supino,1
430,Roland,1
431,Qui monacham sacri,1
432,Guelfa,1
433,William the Good (+1189,1
434,Beato Pacifico Bon,1
435,Soccino,1
436,Fausto Soccino,1
437,Mariano,1
438,Bayle,1
439,chominciato a. d. n. s. 1465,1
440,Francesco San Gallos,1
441,Henry VI +,1
442,Vittorio Carpaccio,1
443,Doge Marino Grimani,1
444,Oliver,1
445,Bonannus,1
446,Domenico Gagini,1
447,G.F. Gladiatore,1
448,Tomaso Pisano,1
449,Alessandro Leopardo,1
450,Joannes Passio,1
451,Obiit Anno Domini MCCCCXXVII,1
452,Jacopo da Carrara,1
453,---Palazzo Pubblico,1
454,Tito Sarrocchi,1
455,Agostino Zeno,1
456,Pierpaolo,1
457,Pietro da SalÃ²,1
458,clauditur antro,1
459,Doge Cristoforo Moro,1
460,del Paradiso,1
461,Antonius de Roycellis MCCCCLXVI Die XVI Decemb,1
462,patriam vox nisu,1
463,Joannes Hec,1
464,C. Inclytus Antenor,1
465,Christe Paulo,1
466,Jacobus Calega,1
467,S. Antonio,1
468,Tullio Lombardo,1
469,Porta d'ingresso,1
470,Palazzo Contarini Fasan,1
471,Servi,1
472,Doge Andrea Vendramin,1
473,Vendramin a S. Giov,1
474,al doge,1
475,S. Helena,1
476,Sala del Consistorio,1
477,Doge Lionardo Loredano,1
478,F.P. Laureato Franciscolus Debros,1
479,Vira,1
480,Niccolo Pisanos,1
481,Madonnas,1
482,Nicolas Pulpit,1
483,Pietro Lombardi,1
484,San Marco,1
485,S. Maria di Collemaggio,1
486,N. Cat.e Central Museum,1
487,Dona Maria,1
488,Algidius Alvari Carriglis de Albornotio,1
489,Charles I's,1
490,La Perla,1
491,Carlos Baltasar,1
492,Gil de Siloe,1
493,Eccl,1
494,Todas,1
495,---Alfonso de Madrigal,1
496,Dona Maria Maurique,1
497,B. C. - say,1
498,ed Antiope,1
499,Stolen 1912,1
500,Leonardo da Vinci,1
501,---La Gioconda,1
502,Paul de la Roche,1
503,Alcazar,1
504,Olivier de Clisson,1
505,Marguerite de BaviÃ¨re,1
506,Mariana,1
507,Don Pedro,1
508,Hospedal de Santa Cruz,1
509,King Juan,1
510,Ptolemy,1
511,Nephthys,1
512,Mariette,1
513,Ramese II,1
514,el Hakim,1
515,Sheik-el,1
516,Khoufou Onkh,1
517,Kamskhom,1
518,V.th Dyn,1
519,Ibn Tooloon,1
520,Kalifs,1
521,Kait Bey,1
522,Kaith Bey,1
523,Khalifs,1
524,Gil de SiloÃ©,1
525,Street,1
526,Cesar Borgia,1
527,S. Trophime,1
528,Pheidias,1
529,Louis 14,1
530,Venerem,1
531,N. 4 Part,1
532,Miller,1
533,Gortyna,1
534,Rosa,1
535,"Bavarians"".---",1
536,Wolkers N. 36,1
537,aussi,1
538,S. Reinach,1
539,Euterpe,1
540,Louis,1
541,Mnemosyne,1
542,Bacchie,1
543,Cardinal Albani,1
544,"Josephs Tharach"".---",1
545,Demosthenis d'un Grec,1
546,Winckelmaan,1
547,Palazzo Borghese,1
548,Morelli,1
549,Choisene Gouffier,1
550,N. 2,1
551,de San Anton,1
552,Suchet,1
553,Jean Perreal of Lyons,1
554,Michel Colombe,1
555,Beau,1
556,Burgundy,1
557,N. 769,1
558,Tharsalos,1
559,Huggia,1
560,Lach,1
561,Paros,1
562,Apollo,1
563,Polilklet,1
564,Lillebonne,1
