,ent,count
0,Fr,30
1,Donatello,23
2,Christ,19
3,Maria del Popolo,18
4,Praxiteles,17
5,Perkins,16
6,Zeus,16
7,Dante,15
8,Hermes,15
9,Apollo,15
10,Aphrodite,11
11,John,11
12,Bramante,10
13,Artemis,10
14,N. Cat,10
15,Madonna,9
16,Cosimati,9
17,Asklepios,9
18,Lorenzo,8
19,S. Francesco,8
20,San Francesco,8
21,Minerva,8
22,St,8
23,Furtwangler,7
24,Hadrian,7
25,Pausanias,7
26,Dionysos,7
27,Athena,7
28,Mary,7
29,S. Maria Maggiore,7
30,Theseus,7
31,Domenico,7
32,Mino,7
33,Ruskin,6
34,Alexander,6
35,Roger,6
36,S. Domenico,6
37,Moses,6
38,Chiara,6
39,Hera,6
40,Visconti,6
41,Adam,6
42,Marble,6
43,Demeter,5
44,Luca,5
45,Spinelli,5
46,Herakles,5
47,Giacomo della Quercia,5
48,Sarc,5
49,Lucy,5
50,Sigismund,5
51,Tiberius,5
52,Parian,5
53,Baccio Pontelli,5
54,Julius,5
55,Frank,5
56,Galla Placidia,5
57,Sabina,5
58,Doric,5
59,Peter,5
60,Sforza,5
61,Andrea,5
62,Achilles,5
63,Marsyas,5
64,Orsini,5
65,Pius II,5
66,Giacomo,5
67,Hoc,5
68,Amadeo,5
69,Louis,5
70,Frederic II,5
71,Maria,5
72,Vasari,5
73,B. C.,5
74,Jesus,5
75,Sansovino,5
76,Furtwrangler,5
77,Sphinx,4
78,John Lateran,4
79,Friedrichs Wolters,4
80,S. Maria,4
81,Socrates,4
82,Tino da Camaino,4
83,Paolo,4
84,Alfonso,4
85,Pheidias,4
86,Ut,4
87,Ferdinand,4
88,Wolters,4
89,Perseus,4
90,Drusus,4
91,"Roman times"".---",4
92,Cosimo,4
93,Giorgione,4
94,S. Apostoli,4
95,Giovanni Pisano,4
96,Antonio,4
97,Collignon,4
98,Lucrezia Borgia,4
99,Monument,4
100,Mino da Fiesole,4
101,Pietro,4
102,Petrarch,4
103,Pietro Lombardo,4
104,Giov,4
105,Maria sopra Minerva,4
106,Francesco,4
107,James,4
108,Diana,4
109,Miss Stokes,3
110,Lysippus,3
111,Paul,3
112,Helen,3
113,Antonio Rossellino,3
114,F. Wolters,3
115,Isis,3
116,Colonna,3
117,Bacchus,3
118,Tritons,3
119,Tommaso,3
120,Peters,3
121,Nereids,3
122,Colleoni,3
123,Miss Harrison,3
124,Francis,3
125,L.,3
126,Paul II,3
127,Parma,3
128,Juno,3
129,Nike Apteros,3
130,Hercules,3
131,Giorgio,3
132,Ladislas,3
133,Schliemann,3
134,Catalogue,3
135,Archaic Sphinx,3
136,San Lorenzo,3
137,Mahaffy,3
138,Despoina,3
139,Dennis,3
140,Roberto Malatesta,3
141,S. Giovanni,3
142,Hippolytus,3
143,Cesar Borgia,3
144,Cesar,3
145,Apollon,3
146,Poseidon,3
147,Bas,3
148,George,3
149,Maria Maggiore,3
150,Church,3
151,Pliny,3
152,Anspert,3
153,S. Maria di Monserrato,3
