,ent,count
0,Cristo,2
1,Helen,2
2,Alexander,1
3,Rhomaiko,1
4,Morosini,1
5,Cornelio Magno,1
6,Frank Dukes,1
7,Greck,1
8,Schliemann,1
9,Hermes,1
10,Fr,1
11,Orestes,1
12,Oreste,1
13,Menelaus,1
14,O.,1
15,Perseus,1
16,Gorgon,1
17,Winckelmaan,1
18,Furtwangler,1
19,Giorgione,1
20,Belisarius,1
21,Emperors,1
22,Constantine Porphyrogenetos,1
23,Lord Byron,1
24,Miss Stokes,1
25,Kevin Kitchen,1
26,Glendalough,1
27,Innocent VIII,1
28,Christoforo Romano,1
29,Romaiko,1
30,N. Mus.m,1
31,Julian,1
32,Agrippa,1
33,Julius,1
34,Augustus,1
35,Drusus,1
36,Livia,1
37,Tiberius,1
38,St,1
39,Paul,1
40,Ficino,1
41,Plato,1
42,Platone,1
43,Ferucci,1
44,See Perkins,1
45,Marsilius,1
46,Maria del Popolo,1
47,Pollaiuolo,1
48,Foscari,1
49,Clementina,1
50,Rocco Pozzi,1
51,Sacrifizio di Abramo,1
52,Pilato,1
53,Antonius de Royzellis,1
54,Caesaris Henrici,1
55,Gaggini,1
56,Antonius de Roycellis,1
57,Cardinal Grimani,1
58,Gian Galeazzo,1
