,ent,count
0,Athens,83
1,Central Museum,58
2,Museum,52
3,Rome,48
4,Naples,41
5,Roman,38
6,Venice,37
7,Duomo,36
8,Florence,29
9,St,29
10,Parthenon,20
11,Ravenna,18
12,Bologna,18
13,Siena,17
14,Roma,15
15,Pisa,15
16,Lucca,13
17,Louvre,13
18,N.C.,12
19,Athene,12
20,Piraeus,12
21,Milan,11
22,Verona,11
23,Eleusis,11
24,Akropolis,10
25,Paris,10
26,Coeli,10
27,Scopas,10
28,Italy,9
29,Lateran,9
30,British Museum,8
31,Attica,8
32,Helbig,8
33,New Cat,7
34,Vatican,7
35,B.C.,7
36,Capitol,7
37,Tlemcen,7
38,Pavia,7
39,Munich,7
40,Cathedral,7
41,New Cat.e,7
42,Sarcophagus,6
43,Borghese,6
44,Venezia,6
45,Croce,6
46,Campanile,6
47,San Zanipolo,6
48,Olympia,6
49,Central,6
50,Capua,6
51,Viterbo,6
52,Basilica Ursiana,6
53,San Marco,6
54,Sparta,6
55,Palermo,6
56,Museum Athens,6
57,Venus,5
58,Palazzo Ducale,5
59,Carthage,5
60,Pluto,5
61,Tuscan,5
62,Selinus,5
63,National,5
64,Rimini,5
65,N. Cat,5
66,Peiraios,5
67,Chapel,5
68,National Gallery,5
69,du Louvre,4
70,Cosimati,4
71,S.t,4
72,Padua,4
73,Monte Calvo,4
74,Celian,4
75,Fried,4
76,Mino,4
77,Ferrara,4
78,Arles,4
79,Dipylon,4
80,Spata,4
81,Amazon,4
82,Propylaea,4
83,Fiesole,4
84,National Museum,4
85,Boetia,4
86,Slab,4
87,Perugia,4
88,Giov,4
89,Mr,4
90,Constantinople,4
91,Chiusi,4
92,"Museo nazionale"".---",4
93,Lateran Museum,4
94,Argos,4
95,Orvieto,4
96,Val d'Ema,4
97,Graces,3
98,Pompeii,3
99,Lemnia,3
100,Doria,3
101,Niobid,3
102,Museo Civico,3
103,Tarragona,3
104,Oxford,3
105,Great,3
106,Tivoli,3
107,Tempio Malatestiano,3
108,Claudium,3
109,Magdalen,3
110,England,3
111,Zara,3
112,Alexandrine,3
113,Waldstein,3
114,Achilleion,3
115,Pisani,3
116,Laconia,3
117,Pistoia,3
118,Berlin,3
119,Apostles,3
120,Thespiai,3
121,Saint,3
122,Sidon,3
123,Arezzo,3
124,N. Cat.e Central Museum,3
125,us,3
126,Syracuse,3
127,Orcagna,3
128,Gimignano,3
129,Doges,3
130,Loggetta,3
131,Mangia,3
132,Delos,3
133,Syren,3
134,Brescia,3
135,New Cat.e Central Museum,3
136,Lapith,3
137,Aeginetan,3
138,Wolters,3
139,Lionardo,3
140,Milanese,3
141,San Giovanni,3
142,Museo,3
143,Popes,3
144,Greece,3
145,Larissa,3
146,N.C. Central Museum,3
147,Montepulciano,3
148,Volterra,3
149,Pompei,3
150,Hellenic,3
151,Br,3
152,Jerusalem,3
153,Akropolis Museum,3
154,Theatre,3
155,Milano,3
156,Bombay,3
157,Chiara,3
158,sarc,3
159,Ancona,3
160,Forli,3
161,Avignon,3
162,Durazzo,3
163,Spalato,3
164,"Nola"".---",3
165,Hungary,3
166,Caserta,3
167,Cannita,2
168,Cremona,2
169,F,2
170,Brunn,2
171,Cella,2
172,B.M.,2
173,Museo Lateranense,2
174,Santo,2
175,Casuccini,2
176,Asia,2
177,Sis humilis,2
178,Cashel,2
179,Sepulchral Monument,2
180,Centaur,2
181,Aegina,2
182,Egypt,2
183,Nos,2
