,ent,count
0,Virgin,10
1,Attic,7
2,National,5
3,Mr,4
4,Nike,4
5,B.C. Fried,3
6,Genoa,3
7,Innspruck,3
8,Muse,3
9,Cardinals,3
10,queen,2
11,Giants,2
12,SS,2
13,Miss Sellers,2
14,apple,2
15,Angels,2
16,Hants,2
17,Evangelists,2
18,"period"".---",2
19,MCCCXXXV,2
20,The Church,2
21,---8,2
22,Arezzo,2
23,Franciscan Church,2
24,the Church,2
25,Jesuit Saints,2
26,Capitano,2
27,B. Arts,1
28,Euthippos,1
29,Lions,1
30,Atlas Classical,1
31,GuilletiÃ¨re,1
32,S.E. of the,1
33,Cent.y B.C.,1
34,Death,1
35,Ionic Society,1
36,Miss Winefred Wyse,1
37,Mikion,1
38,"duplicate"".---",1
39,"worked"".---",1
40,Pandolfo Petrucci,1
41,Church the great Theodoric,1
42,Corte,1
43,Venezia Accademia,1
44,Giustizia,1
45,Fam.a Sanguigni,1
46,Gothic Church,1
47,B.C. Probably,1
48,Octopos,1
49,Veyrics,1
50,B.C. The,1
51,ThÃ,1
52,Theseion,1
53,"off"".---",1
54,Portion,1
55,American Arch,1
56,Copies of Roman,1
57,Upwards,1
58,Pous,1
59,"ruin"".---",1
60,Sebastianis troops,1
61,Medersa,1
62,Forum,1
63,"archangels"".---",1
64,Miss Sotkes,1
65,Sosinos Gortynios Lakoptes,1
66,the / church,1
67,Big stones,1
68,Miss Eugenie Sellers,1
69,Alexandrine,1
70,"colors"".---",1
71,School of Phidias,1
72,School of Scopas,1
73,French Central Champoiseau,1
74,B.C. Thormis,1
75,12th Century,1
76,Nike of Paionios,1
77,B.x Arts,1
78,West,1
79,British School,1
80,"pentelic"".---",1
81,Murderers,1
82,B.C. Found,1
83,Finlay Collection,1
84,Gas Company,1
85,Woodhouse Collection,1
86,5th Century B.C.,1
87,Castellani Collection,1
88,koidÃ¨,1
89,Style archaique,1
90,Mr Perkins,1
91,Cavallari,1
92,Malariazzi,1
93,Martoribus Christe Paulo,1
94,B.C. Hare,1
95,Miss Coulson,1
96,Academia,1
97,Meissonier,1
98,MCCCCLXV,1
99,Philippo Doria,1
100,Sanguigni,1
101,Paschal 1,1
102,Council,1
103,DEC,1
104,Cremonese,1
105,Medeas,1
106,Nike Anteros,1
107,Biga,1
108,Atalanta,1
109,Bologna,1
110,Reni - Academia,1
111,Enlarged,1
112,Baptist and,1
113,S. Barbatium,1
114,Expulit,1
115,Nazionale Napoli,1
116,Viceroy Olivares,1
117,Duraciis,1
118,Tassoni,1
119,Council of Constance,1
120,Academia Bologna,1
121,Queen Margareta,1
122,PP,1
123,Cardinal Fortiguerra,1
124,Sum Sigismundus Malateste,1
125,"bronze"".---",1
126,Reni,1
127,Brera,1
128,philosophia bonarumq,1
129,Milan,1
130,LXXXXVI,1
131,Contervators,1
132,Giustizia Prudenza,1
133,The Bishop,1
134,CCC,1
135,PS,1
136,HA,1
137,Flagelation,1
138,Gothic Period,1
139,Crocifixion,1
140,The Caritas,1
141,Altoviti,1
142,The Cardinal,1
143,MCLXXXVI,1
144,Messina,1
145,Barbarous Period,1
146,Cathedral of Milan,1
147,Philippus Alenconiades,1
148,Larthia Seianti S...,1
149,"Scuola dei della Robbia"".---
",1
150,Nazionale,1
151,Virgin and Child,1
152,Bonsi brothers,1
153,Decameron Giorn,1
154,S. TrinitÃ  ,1
155,Catacombs of SS,1
156,Bizantine Period,1
157,Coronari,1
158,"kind"".---",1
159,Portico of Church,1
160,MCCCCLXXV,1
161,"Genius of Rome"".---",1
162,Sun,1
163,Chapel,1
