,ent,count
0,century,32
1,Coeli,10
2,1876,7
3,1888,7
4,1478,7
5,1250,6
6,1465,6
7,1885,6
8,1470,6
9,1345,6
10,the second century,5
11,1473,5
12,1890,5
13,1837,5
14,1884,5
15,1453,5
16,about 1350,5
17,1466,5
18,1889,5
19,1412,5
20,1480,5
21,6.th century,5
22,1490,4
23,the 12.th century,4
24,1877,4
25,1477,4
26,1836,4
27,1475,4
28,1506,4
29,1471,4
30,1862,4
31,1336,4
32,1879,4
33,1882,4
34,1450,4
35,1883,4
36,1177,4
37,the 4.th century,4
38,1484,4
39,about 1300,4
40,the 11.th century,4
41,1444,4
42,1460,4
43,1516,4
44,1350,4
45,1260,3
46,1366,3
47,the past century,3
48,1479,3
49,1893,3
50,1290,3
51,1880,3
52,1467,3
53,1861,3
54,1894,3
55,1285,3
56,1530,3
57,1274,3
58,1870,3
59,about 1450,3
60,1299,3
61,1270,3
62,1504,3
63,1687,3
64,1875,3
65,1833,3
66,1440,3
67,the 15th.,3
68,the middle ages,3
69,the year,3
70,1405,3
71,1452,3
72,1456,3
73,1464,3
74,1498,3
75,1874,3
76,1407,3
77,1503,3
78,1575,3
79,1840,3
80,1540,3
81,1483,3
82,1850,3
83,1485,3
84,1543,3
85,1298,3
86,1829,3
87,centuries,3
88,1492,3
89,the 15.th century,3
90,1512,3
91,1455,3
92,1360,3
93,1848,3
94,1280,3
95,some years later,3
96,1462,3
97,1316,3
98,1397,3
99,1499,3
100,about 1480,3
101,the 3.d century,2
102,1508,2
103,3.d century,2
104,1868,2
105,1469,2
106,1835,2
107,1367,2
108,1824,2
109,1863,2
110,60,2
111,1266,2
112,1752,2
113,1891,2
114,1558,2
115,1032,2
116,1491,2
117,a few years,2
118,1278,2
119,1881,2
120,1814,2
121,about 1390,2
122,1294,2
123,1496,2
124,1865,2
125,1329,2
126,1351,2
127,1205,2
128,1620,2
129,about 1230,2
130,1527,2
131,the 13.th century,2
132,1315,2
133,the 12th.,2
134,about 1540,2
135,1120,2
136,1866,2
137,1481,2
138,1401,2
139,1472,2
140,1896,2
141,1317,2
142,13.th century,2
143,years,2
144,the XVIth century,2
145,1823,2
146,1507,2
147,1509,2
148,1838,2
149,1319,2
150,1189,2
151,1396,2
152,1402,2
153,1849,2
154,5.th century,2
155,1489,2
156,1858,2
157,1513,2
158,1221,2
159,1370,2
160,1201,2
161,12.th,2
162,1494,2
163,1417,2
164,the 14th.,2
165,the 13th.,2
166,1523,2
167,1028,2
168,1886,2
169,1287,2
170,42,2
171,1497,2
172,1284,2
173,1279,2
174,1864,2
175,1520,2
176,1817,2
177,1476,2
178,1501,2
179,1576,2
180,about the year 1500,2
181,1580,2
182,63,2
183,1334,2
184,1387,2
185,1570,2
186,1553,2
187,the same day,2
188,1301,2
189,1320,2
190,1414,2
191,83,2
192,1314,2
193,1328,2
194,1375,2
195,1489-93,2
196,1435,2
197,1474,2
198,1458,2
199,1337,2
200,1289,2
201,the 12th century,2
202,1305,2
203,"1886"".---",2
204,1534,2
205,1268,2
206,1482,2
207,1486,2
208,the 14.th century,2
209,1447,2
210,1869,2
