,ent,count
0,Virtues,3
1,La piÃ¹ antica memoria della torre,2
2,Epidauros,2
3,"left"".---",2
4,Perseus and Syphan,1
5,The Apollo of Melos,1
6,La Vergine,1
7,Augusta Perusia,1
8,la taglia,1
9,Sphinx,1
10,Friederichs + Wolters NÂ,1
11,"15"".---
---West Frieze of Parthenon",1
12,OrphÃ©,1
13,"Theodoros Athens"".---",1
14,Floor of Duomo.,1
15,"Late art"".---
---British Museum",1
16,"a Work of Myron"".---",1
17,Socrates and Plato,1
18,"magnificent"".---",1
19,Judice sub Prodo,1
20,Costantine the Great,1
21,the King of the Romans,1
22,Floor of Duomo,1
23,"bodies"".---",1
24,Porta del forno,1
25,Neros villa,1
26,Fr.,1
27,"male"".---",1
28,"Torrioni a Tivoli"".---
---Of 15 th. century",1
29,Cardinal Cusa,1
30,Sanguigni,1
31,Brignole-Sale,1
32,The Duomo in the lombard style built,1
33,Crucifission,1
34,The Annunciation by the elder,1
35,"Inferno XXX."".---",1
36,Servans Latio,1
37,Ghibellini e Grandi,1
38,Pietro di Rosso,1
39,La qual fa del non,1
40,Love,1
41,Antonius de Royzellis,1
42,tÃªte de Brunn,1
