,AUFN_Faut,count,ph_wd_name,ph_wd_URI,gender,workplace,lat,lon,born,died
0,Anonimo,1336,Anonimo,,,,,,,
1,"Alinari, Fratelli",556,Fratelli Alinari,,,,,,,
2,"Moscioni, Romualdo",159,Romualdo Moscioni,,,,,,,
3,Brogi,158,Brogi,,,,,,,
4,"Sommer, Giorgio",147,Giorgio Sommer,,,,,,,
5,"Laurent, Jean",73,Jean Laurent,,,,,,,
6,Incorpora,57,Incorpora,,,,,,,
7,Giraudon,55,Giraudon,,,,,,,
8,"Lombardi, Paolo",53,Paolo Lombardi,,,,,,,
9,Naya,48,Naya,,,,,,,
10,"Simelli, Carlo Baldassarre",40,Carlo Baldassarre Simelli,,,,,,,
11,"Poppi, Pietro",37,Pietro Poppi,,,,,,,
12,"Mieusement, Séraphin-Médéric ",24,Séraphin-Médéric  Mieusement,,,,,,,
13,"Rive, Robert",19,Robert Rive,,,,,,,
14,"Philpot, John Brampton",19,John Brampton Philpot,,,,,,,
15,"Merlin, Carl Prior",19,Carl Prior Merlin,,,,,,,
16,Tagliarini,18,Tagliarini,,,,,,,
17,"Hammerschmidt, Wilhelm",17,Wilhelm Hammerschmidt,,,,,,,
18,Bruckmann Verlag,16,Bruckmann Verlag,,,,,,,
19,"Sébah, Pascal",16,Pascal Sébah,,,,,,,
20,"Amodio, Fratelli",14,Fratelli Amodio,,,,,,,
21,Clarke & Davies,14,Clarke & Davies,,,,,,,
22,Budtz Muller & Co.,14,Budtz Muller & Co.,,,,,,,
23,Abdullah Frères,13,Abdullah Frères,,,,,,,
24,"Lekegian, Gabriel",12,Gabriel Lekegian,,,,,,,
25,Goupil & C.ie Editeurs,12,Goupil & C.ie Editeurs,,,,,,,
26,"Berggren, Guillaume Gustave",11,Guillaume Gustave Berggren,,,,,,,
27,Lyon E.D.,10,Lyon E.D.,,,,,,,
28,"Garrigues, J.",10,J. Garrigues,,,,,,,
29,Anderson,10,Anderson,,,,,,,
30,Albert,9,Albert,,,,,,,
31,"Colamedici, Giovanni Battista",8,Giovanni Battista Colamedici,,,,,,,
32,"Anriot, Emilio",8,Emilio Anriot,,,,,,,
33,Neue Photographische Gesellschaft,7,Neue Photographische Gesellschaft,,,,,,,
34,Béchard Henri,7,Béchard Henri,,,,,,,
35,"Crupi, Giovanni",7,Giovanni Crupi,,,,,,,
36,Stereoscopic Co.,7,Stereoscopic Co.,,,,,,,
37,Neurdein,6,Neurdein,,,,,,,
38,"Moraites, Petros",6,Petros Moraites,,,,,,,
39,"Soler, Francisco",6,Francisco Soler,,,,,,,
40,Istituto Centrale per il Catalogo e la Documentazione: Fototeca Nazionale,6,Istituto Centrale per il Catalogo e la Documentazione: Fototeca Nazionale,,,,,,,
41,"Pezzani, Enrico",6,Enrico Pezzani,,,,,,,
42,"MacPherson, Robert",6,Robert MacPherson,,,,,,,
43,"Mioni, Luigi",6,Luigi Mioni,,,,,,,
44,Sébah & Joaillier,6,Sébah & Joaillier,,,,,,,
45,P. Famin & Cie.,5,P. Famin & Cie.,,,,,,,
46,Shepherd & Robertson,5,Shepherd & Robertson,,,,,,,
47,"Konstantinou, Dimitris",5,Dimitris Konstantinou,,,,,,,
48,"Kuhn, J.",5,J. Kuhn,,,,,,,
49,Fotografia A. Premi,5,Fotografia A. Premi,,,,,,,
50,Tuminello Lodovico,5,Tuminello Lodovico,,,,,,,
51,"Lawrence, William",4,William Lawrence,,,,,,,
52,"Lorens, Alfred",4,Alfred Lorens,,,,,,,
53,"Agius, Horatio",4,Horatio Agius,,,,,,,
54,"Frith, Francis",4,Francis Frith,,,,,,,
55,"Formosa, Giuseppe Lorenzo",4,Giuseppe Lorenzo Formosa,,,,,,,
56,"Löwy, Josef",4,Josef Löwy,,,,,,,
57,"Hertel, Carl",4,Carl Hertel,,,,,,,
58,"Jaeger, Johannes ",4,Johannes  Jaeger,,,,,,,
59,Lombardi,4,Lombardi,,,,,,,
60,"Fiorani, Francesco",4,Francesco Fiorani,,,,,,,
61,"Gabinetto Fotografico della Soprintendenza Speciale per il Patrimonio Storico, Artistico ed Etnoantropologico e per il Polo Museale della città di Firenze",4,Artistico ed Etnoantropologico e per il Polo Museale della città di Firenze Gabinetto Fotografico della Soprintendenza Speciale per il Patrimonio Storico,,,,,,,
62,"Marcozzi, Carlo",4,Carlo Marcozzi,,,,,,,
63,"Degoix, Celestino",4,Celestino Degoix,,,,,,,
64,"Ricci, Luigi",4,Luigi Ricci,,,,,,,
65,"Verzaschi, Enrico",4,Enrico Verzaschi,,,,,,,
66,"Benvenuti, Cesare",4,Cesare Benvenuti,,,,,,,
67,"Lais, Filippo",4,Filippo Lais,,,,,,,
68,"Polozzi, Giuseppe",3,Giuseppe Polozzi,,,,,,,
69,"Castelli, Giovanni",3,Giovanni Castelli,,,,,,,
70,"Salviati, Paolo",3,Paolo Salviati,,,,,,,
71,Robertson & Beato,3,Robertson & Beato,,,,,,,
72,Zedler & Vogel,3,Zedler & Vogel,,,,,,,
73,Paul des Granges,3,Paul des Granges,,,,,,,
74,"Daziaro, Joseph",3,Joseph Daziaro,,,,,,,
75,"Valentine, James",3,James Valentine,,,,,,,
76,Vasari,2,Vasari,,,,,,,
77,"Stuffler, G.",2,G. Stuffler,,,,,,,
78,"Petagna, Michele",2,Michele Petagna,,,,,,,
79,"Noack, Alfred",2,Alfred Noack,,,,,,,
80,"Geiser, Jean",2,Jean Geiser,,,,,,,
81,"Unterverger, Giovanni Battista",2,Giovanni Battista Unterverger,,,,,,,
82,"Esposito, Fratelli",2,Fratelli Esposito,,,,,,,
83,"De Mattia, Nicola",2,Nicola De Mattia,,,,,,,
84,"Bruno, Giuseppe",2,Giuseppe Bruno,,,,,,,
85,Poulton Series,2,Poulton Series,,,,,,,
86,"Mackey, Peter Paul",2,Peter Paul Mackey,,,,,,,
87,"Wilson Washington, George",2,George Wilson Washington,,,,,,,
88,"Ponti, Carlo",2,Carlo Ponti,,,,,,,
89,"Pallejá Domenech, Pere",2,Pere Pallejá Domenech,,,,,,,
90,"Beato, Antonio",1,Antonio Beato,,,,,,,
91,"Dumaine, A.",1,A. Dumaine,,,,,,,
92,"Tessaro, François",1,François Tessaro,,,,,,,
93,"James, Edith Emily Coulson",1,Edith Emily Coulson James,,,,,,,
94,Istituto Fotografico Antonio Fortunato Perini,1,Istituto Fotografico Antonio Fortunato Perini,,,,,,,
95,"De Rubeis, Francesco",1,Francesco De Rubeis,,,,,,,
96,"Brusa, Giovanni Battista",1,Giovanni Battista Brusa,,,,,,,
97,Sommer & Behles,1,Sommer & Behles,,,,,,,
98,Studio Fotografico Ciappei,1,Studio Fotografico Ciappei,,,,,,,
99,"Voland, Pierre Henry ",1,Pierre Henry  Voland,,,,,,,
100,"Pesce, Francesco",1,Francesco Pesce,,,,,,,
101,"Giletta, Jean",1,Jean Giletta,,,,,,,
102,"Van Lint, Enrico",1,Enrico Van Lint,,,,,,,
103,"Garzón, Rafael",1,Rafael Garzón,,,,,,,
104,"Paganori, Vincenzo",1,Vincenzo Paganori,,,,,,,
105,"Brillet-Buyet, Luigi",1,Luigi Brillet-Buyet,,,,,,,
106,"Venturi, Francesco",1,Francesco Venturi,,,,,,,
107,Rozier,1,Rozier,,,,,,,
108,"Portier, Claude-Joseph",1,Claude-Joseph Portier,,,,,,,
109,"Arnoux, Hippolyte",1,Hippolyte Arnoux,,,,,,,
110,Alary & Geiser,1,Alary & Geiser,,,,,,,
111,"Mansell, W. F.",1,W. F. Mansell,,,,,,,
