century,status,count
a.C. VI-XXVI,complete,57
a.C. VI-XXVI,incomplete,15
a.C. VI-XXVI,missing,62
a.C. V,complete,129
a.C. V,incomplete,19
a.C. V,missing,43
a.C. IV,complete,113
a.C. IV,incomplete,19
a.C. IV,missing,19
a.C. III,complete,19
a.C. III,incomplete,7
a.C. III,missing,22
a.C. II,complete,21
a.C. II,incomplete,10
a.C. II,missing,11
a.C. I,complete,49
a.C. I,incomplete,18
a.C. I,missing,39
 I,complete,62
 I,incomplete,18
 I,missing,57
 II,complete,86
 II,incomplete,23
 II,missing,62
 III,complete,30
 III,incomplete,12
 III,missing,31
 IV,complete,32
 IV,incomplete,22
 IV,missing,13
 V,complete,10
 V,incomplete,6
 V,missing,21
 VI,complete,13
 VI,missing,36
 VII,complete,5
 VII,incomplete,1
 VII,missing,11
 VIII,complete,4
 VIII,incomplete,1
 VIII,missing,2
 IX,complete,6
 IX,incomplete,1
 IX,missing,11
 X,complete,3
 X,incomplete,2
 X,missing,10
 XI,complete,22
 XI,incomplete,5
 XI,missing,22
 XII,complete,67
 XII,incomplete,23
 XII,missing,109
 XIII,complete,82
 XIII,incomplete,38
 XIII,missing,117
 XIV,complete,130
 XIV,incomplete,36
 XIV,missing,197
 XV,complete,252
 XV,incomplete,93
 XV,missing,234
 XVI,complete,160
 XVI,incomplete,37
 XVI,missing,162
 XVII,complete,20
 XVII,incomplete,3
 XVII,missing,71
 XVIII,complete,8
 XVIII,incomplete,1
 XVIII,missing,20
 XIX,complete,42
 XIX,incomplete,1
 XIX,missing,90
 XX,complete,2
 XX,missing,3
