,AUFN_Faut,count,ph_wd_name,ph_wd_URI,gender,workplace,lat,lon,born,died
0,Anonimo,1336,Anonimo,,,,,,,
1,"Alinari, Fratelli",556,Fratelli Alinari,http://www.wikidata.org/entity/Q644689,,,,,,
2,"Moscioni, Romualdo",159,Romualdo Moscioni,http://www.wikidata.org/entity/Q3441292,,Rome,41.8933203,12.4829321,1849,1925
3,Brogi,158,Giacomo Brogi,http://www.wikidata.org/entity/Q2346257,,Florence,43.7698712,11.2555757,1822,1881
4,"Sommer, Giorgio",147,Giorgio Sommer,http://www.wikidata.org/entity/Q64212,,Naples,40.8358846,14.2487679,1834,1914
5,"Laurent, Jean",73,Jean Laurent,http://www.wikidata.org/entity/Q558371,,,,,,
6,Incorpora,57,Giuseppe Incorpora,http://www.wikidata.org/entity/Q55053644,,Palermo,38.1112268,13.3524434,1834,1914
7,Giraudon,55,Adolphe Giraudon,,,,,,,
8,"Lombardi, Paolo",53,Paolo Lombardi,http://www.wikidata.org/entity/Q2412846,,Siena,43.1672254,11.467181161339118,1827,1890
9,Naya,48,Naya,,,,,,,
10,"Simelli, Carlo Baldassarre",40,Carlo Baldassarre Simelli,http://www.wikidata.org/entity/Q23776035,,,,,,
11,"Poppi, Pietro",37,Pietro Poppi,http://www.wikidata.org/entity/Q24239722,,Bologna,44.4938203,11.3426327,1833,1914
12,"Mieusement, Séraphin-Médéric ",24,Séraphin-Médéric Mieusement,http://www.wikidata.org/entity/Q3498763,,,,,,
13,"Rive, Robert",19,Robert Rive,http://www.wikidata.org/entity/Q2159611,,,,,,
14,"Philpot, John Brampton",19,John Brampton Philpot,http://www.wikidata.org/entity/Q85124868,,Florence,43.7698712,11.2555757,1812,1878
15,"Merlin, Carl Prior",19,Carl Prior Merlin,,,,,,,
16,Tagliarini,18,Tagliarini,,,,,,,
17,"Hammerschmidt, Wilhelm",17,Wilhelm Hammerschmidt,http://www.wikidata.org/entity/Q21031888,,,,,,
18,Bruckmann Verlag,16,Bruckmann Verlag,,,,,,,
19,"Sébah, Pascal",16,Pascal Sébah,,,,,,,
20,"Amodio, Fratelli",14, Amodio,,,,,,,
21,Clarke & Davies,14,Clarke and Davies,,,,,,,
22,Budtz Muller & Co.,14,Budtz Muller and Co.,,,,,,,
23,Abdullah Frères,13,Abdullah Frères,,,,,,,
24,"Lekegian, Gabriel",12,Gabriel Lekegian,http://www.wikidata.org/entity/Q39046433,,Cairo,30.0443879,31.2357257,1853,1920
25,Goupil & C.ie Editeurs,12,Goupil and C.ie Editeurs,,,,,,,
26,"Berggren, Guillaume Gustave",11,Guillaume Gustave Berggren,,,,,,,
27,Lyon E.D.,10,Lyon E.D.,,,,,,,
28,"Garrigues, J.",10,J. Garrigues,,,,,,,
29,Anderson,10,Anderson,http://www.wikidata.org/entity/Q55861391,,,,,,
30,Albert,9,Albert,,,,,,,
31,"Colamedici, Giovanni Battista",8,Giovanni Battista Colamedici,http://www.wikidata.org/entity/Q29017779,,,,,,
32,"Anriot, Emilio",8,Emilio Anriot,,,,,,,
33,Neue Photographische Gesellschaft,7,Neue Photographische Gesellschaft,,,,,,,
34,Béchard Henri,7,Béchard Henri,,,,,,,
35,"Crupi, Giovanni",7,Giovanni Crupi,http://www.wikidata.org/entity/Q961257,,,,,,
36,Stereoscopic Co.,7,Stereoscopic Co.,,,,,,,
37,Neurdein,6,Neurdein,,,,,,,
38,"Moraites, Petros",6,Petros Moraites,http://www.wikidata.org/entity/Q20830627,,,,,,
39,"Soler, Francisco",6,Francisco Soler,,,,,,,
40,Istituto Centrale per il Catalogo e la Documentazione: Fototeca Nazionale,6,Istituto Centrale per il Catalogo e la Documentazione: Fototeca Nazionale,,,,,,,
